"DOY"	"Date"	"Year"	"Month"	"Day"	"Port"	"Location"	"Tree"	"code"	"CO2"	"CO2_R2"	"CH4"	"CH4_R2"	"N2O"	"N2O_R2"	"Temp"	"SWC"	"Height"	"BA"	"Diam"	"GWT"	"SF"	"CO2sd"	"CO2_R2sd"	"CH4sd"	"CH4_R2sd"	"N2Osd"	"N2O_R2sd"	"Tempsd"	"SWCsd"	"Heightsd"	"BAsd"	"Diamsd"	"GWTsd"	"SFsd"
101	"4/12/2017"	2017	4	12	1	"1"	"1"	"Soil"	5.99626666666667	0.9987795	-0.980927363636364	0.982394545454545	-0.054121	0.191847624583333	15.693375	0.143777793176466	NA	4417.864669	75	NA	NA	1.71570642344929	0.0011287908454303	0.0634346706723109	0.00770171452487868	0.145800665207829	0.190834660525582	0.374605315025634	0.00044187067915078	NA	0	0	NA	NA
101	"4/12/2017"	2017	4	12	2	"2"	"1"	"Stem"	3.25702	0.996965916666667	0.195540791666667	0.778253666666667	NA	NA	20.554625	0.143777793176466	55	4417.864669	75	NA	NA	0.375130009760253	0.00150320419639538	1.24839789033659	0.191971608823513	NA	NA	1.12030312710039	0.00044187067915078	0	0	0	NA	NA
101	"4/12/2017"	2017	4	12	3	"3"	"1"	"Stem"	2.6380425	0.994131333333333	2.60363833333333	0.986682375	NA	NA	23.8955833333333	0.143777793176466	149	4417.864669	75	NA	NA	1.08763919786368	0.006913350589894	0.267802226349743	0.0219633060136933	NA	NA	2.36923154815815	0.00044187067915078	0	0	0	NA	NA
101	"4/12/2017"	2017	4	12	4	"1"	"2"	"Soil"	5.09632875	0.998442125	-0.650039125	0.908337333333333	-0.115412666666667	0.311036366666667	16.3890833333333	0.293220615003692	NA	1824.668429	48.2	NA	NA	0.522590000452836	0.00121483876829582	0.254035820215568	0.11806132868293	0.145080581120276	0.200848807524608	0.585300499096339	0.000342109767043279	NA	0	0	NA	NA
101	"4/12/2017"	2017	4	12	5	"2"	"2"	"Stem"	3.18346208333333	0.998407583333333	0.396623541666667	0.743257083333333	NA	NA	22.34225	0.293220615003692	60	1824.668429	48.2	NA	NA	0.337901653803281	0.00177564244242284	0.315697565242322	0.0932410505188357	NA	NA	1.59565292278741	0.000342109767043279	0	0	0	NA	NA
101	"4/12/2017"	2017	4	12	6	"3"	"2"	"Stem"	3.29961041666667	0.998550333333333	0.626406090909091	0.548369110909091	NA	NA	23.234	0.293220615003692	151	1824.668429	48.2	NA	NA	0.846250501080712	0.000974634181567004	1.22513962317751	0.160060440722857	NA	NA	1.75503249128173	0.000342109767043279	0	0	0	NA	NA
101	"4/12/2017"	2017	4	12	7	"1"	"3"	"Soil"	6.38575791666667	0.999178541666667	-0.710502541666667	0.966432916666667	-0.202204125	0.4648400175	16.0456458333333	0.233886130252419	NA	1104.466167	37.5	NA	NA	1.14501011284827	0.000541601600404405	0.243476724890553	0.0112829110340158	0.281752786609606	0.287137815331297	0.461571309106352	0.00140909822031386	NA	0	0	NA	NA
101	"4/12/2017"	2017	4	12	8	"2"	"3"	"Stem"	4.20625541666667	0.998999583333333	0.166660666666667	0.111360267416667	NA	NA	23.7837083333333	0.233886130252419	54	1104.466167	37.5	NA	NA	0.314559407270047	0.000617391647959137	0.372448710040196	0.105348059358536	NA	NA	1.81207689053113	0.00140909822031386	0	0	0	NA	NA
101	"4/12/2017"	2017	4	12	9	"3"	"3"	"Stem"	2.81682916666667	0.998775125	0.187990541666667	0.1305439875	NA	NA	22.496125	0.233886130252419	154	1104.466167	37.5	NA	NA	0.368303648914571	0.00103758859698384	0.241888509277937	0.160101065786306	NA	NA	1.22641128584397	0.00140909822031386	0	0	0	NA	NA
102	"4/13/2017"	2017	4	13	1	"1"	"1"	"Soil"	4.927971	0.993860675	-0.920143025	0.9543369	-0.027908575	0.256020910075	13.810375	0.144105670137132	NA	4417.864669	75	NA	0.008266093125	2.03421975150671	0.0168399027409016	0.18884207665098	0.0897666575933931	0.17422886485516	0.19022306583472	0.465468166613395	0.000971046325964428	NA	0	0	NA	0.00523178862264332
102	"4/13/2017"	2017	4	13	2	"2"	"1"	"Stem"	2.22335291666667	0.995731583333333	0.613385666666667	0.819940208333333	NA	NA	16.8945	0.144105670137132	55	4417.864669	75	NA	0.008266093125	0.123758718857691	0.00251167495069942	0.27774307680354	0.0766352720198957	NA	NA	0.782615528351816	0.000971046325964428	0	0	0	NA	0.00523178862264332
102	"4/13/2017"	2017	4	13	3	"3"	"1"	"Stem"	1.62791732608696	0.989408869565217	3.06908695652174	0.991489782608696	NA	NA	17.4894166666667	0.144105670137132	149	4417.864669	75	NA	0.008266093125	0.551982599264514	0.00721380425298575	0.627168318395793	0.0103804264558417	NA	NA	2.2104284685311	0.000971046325964428	0	0	0	NA	0.00523178862264332
102	"4/13/2017"	2017	4	13	4	"1"	"2"	"Soil"	4.43599425	0.994618225	-0.597851525	0.9458678	-0.06298035	0.25127635025	14.5264166666667	0.293657285989	NA	1824.668429	48.2	NA	0.008266093125	0.87447262684774	0.0136851426722511	0.09469694832846	0.0525909566991973	0.175203028654736	0.180077615986038	0.629469405042102	0.000348722119219993	NA	0	0	NA	0.00523178862264332
102	"4/13/2017"	2017	4	13	5	"2"	"2"	"Stem"	2.49755729166667	0.998187645833333	0.308997458333333	0.714621210416667	NA	NA	17.8199375	0.293657285989	60	1824.668429	48.2	NA	0.008266093125	0.528609638576149	0.0009909503725472	0.163416059258989	0.134472356632093	NA	NA	1.72229623842138	0.000348722119219993	0	0	0	NA	0.00523178862264332
102	"4/13/2017"	2017	4	13	6	"3"	"2"	"Stem"	2.01845541666667	0.997505083333333	0.6070030625	0.53383475	NA	NA	18.0613333333333	0.293657285989	151	1824.668429	48.2	NA	0.008266093125	0.194187977647594	0.0011701653698318	1.11300427678095	0.155089207443371	NA	NA	1.90175046748508	0.000348722119219993	0	0	0	NA	0.00523178862264332
102	"4/13/2017"	2017	4	13	7	"1"	"3"	"Soil"	5.94388475	0.9931543	-0.62026185	0.90946615	-0.0512056	0.32433646225	14.1944895833333	0.237237964493475	NA	1104.466167	37.5	NA	0.008266093125	2.7756717075566	0.0171969941486112	0.16050777890963	0.143198733014196	0.185491773524468	0.195995989599025	0.528006940002803	0.00102875954426158	NA	0	0	NA	0.00523178862264332
102	"4/13/2017"	2017	4	13	8	"2"	"3"	"Stem"	3.03441645833333	0.9985676875	0.450502895833333	0.125315163125	NA	NA	17.3758958333333	0.237237964493475	54	1104.466167	37.5	NA	0.008266093125	0.241877230992875	0.00104789275932909	1.31174401233248	0.172556949598421	NA	NA	1.68989536580618	0.00102875954426158	0	0	0	NA	0.00523178862264332
102	"4/13/2017"	2017	4	13	9	"3"	"3"	"Stem"	1.89779833333333	0.9975195625	0.3366783125	0.182345057291667	NA	NA	17.1087708333333	0.237237964493475	154	1104.466167	37.5	NA	0.008266093125	0.348330424904993	0.000997525071195227	0.657137356262435	0.223632312062772	NA	NA	1.25564437795696	0.00102875954426158	0	0	0	NA	0.00523178862264332
103	"4/14/2017"	2017	4	14	1	"1"	"1"	"Soil"	5.6389835	0.994605925	-0.851148375	0.895159165	-0.0053258	0.298217605	12.8098541666667	0.143272751314496	NA	4417.864669	75	NA	0.00247654933333333	4.7373339528704	0.0101495540533031	0.282790012088702	0.236676642164361	0.15600600146742	0.254201022787556	0.47044055391143	0.00113215941834593	NA	0	0	NA	0.0019803592983663
