Tissue	Sample	CH4	CO2	N2O
Heartwood	A1 Heart 18	226.6702215	195.09479	0.1395373
Sapwood	A1 Sap 18       	229.4821035	219.89998	0.1384033
Heartwood	A2 Heart 18     	251.8424743	206.47255	0.1564213
Sapwood	A2 Sap 18       	245.5755647	214.04378	0.1463863
Heartwood	A3 Heart 18     	237.3919248	220.56926	0.1391143
Sapwood	A3 Sap 18       	248.416671	200.36537	0.1514893
Heartwood	B1 Heart 18	241.8541305	166.19026	0.1351003
Sapwood	B1 Sap 18       	240.8052337	269.80317	0.1553143
Heartwood	B2 Heart 18     	262.7498999	198.90132	0.1561963
Sapwood	B2 Sap 18       	260.0515266	202.4987	0.1482313
Heartwood	B3 Heart 18     	242.5538185	205.67778	0.1403473
Sapwood	B3 Sap 18       	234.1211371	225.37971	0.1624783
Heartwood	C1 Heart 18	237.4779034	250.81235	0.1573483
Sapwood	C1 Sap 18       	261.1332477	529.02368	0.1578073
Heartwood	C2 Heart 18     	245.9173615	188.02552	0.1454413
Sapwood	C2 Sap 18       	232.7869861	722.06913	0.1487983
Heartwood	C3 Heart 18     	269.7891347	203.12615	0.1540003
Sapwood	C3 Sap 18       	264.2102658	239.01629	0.1486093
Heartwood	D1 Heart 18     	259.8124382	201.82942	0.1414453
Sapwood	D1 Sap 18       	265.7669871	551.86286	0.1499413
Heartwood	D2 Heart 18     	250.1294668	189.1131	0.1453513
Sapwood	D2 Sap 18       	254.4535984	387.84743	0.1545403
Heartwood	D3 Heart 18     	254.6674861	177.90266	0.1458463
Sapwood	D3 Sap 18       	213.8570776		0.1464403
Heartwood	E1 Heart 18     	237.1132355	382.91149	0.1538293
Sapwood	E1 Sap 18       	248.4825315	195.68041	0.1556833
Heartwood	E2 Heart 18     	255.7051591	318.28414	0.1491943
Sapwood	E2 Sap 18       	216.6391001		0.1382593
Heartwood	E3 Heart 18     	261.8257356	344.17691	0.1532803
Sapwood	E3 Sap 18       	221.2940165		0.1474303
Heartwood	F1 Heart 18     	245.1880256	355.84748	0.1636213
Sapwood	F1 Sap 18       	233.5821825	216.26077	0.1650343
Heartwood	F2 Heart 18     	276.685213	382.3677	0.1485733
Sapwood	F2 Sap 18       	236.131258	199.31962	0.1527673
