Date	DOY	DOYc	Day	Month	Year	Hour	Min	VWC	Soil_temp	EC	RH	Air_temp	AtmPress	Wind_speed	Wind_Gusts	Air_Direction
4/11/2017 17:00	101	101.7083333	11	4	2017	17	0	0.338	14.4	0.02	0.346	28.4	102.05	1.28	2.1	174
4/11/2017 17:15	101	101.71875	11	4	2017	17	15	0.339	14.4	0.02	0.351	28.3	102.05	1.16	1.8	170
4/11/2017 17:30	101	101.7291667	11	4	2017	17	30	0.339	14.5	0.02	0.34	28.2	102.05	1.13	1.8	168
4/11/2017 17:45	101	101.7395833	11	4	2017	17	45	0.339	14.5	0.03	0.349	27.9	102.07	1.39	2	171
4/11/2017 18:00	101	101.75	11	4	2017	18	0	0.339	14.6	0.03	0.367	27.4	102.07	1.42	2	170
4/11/2017 18:15	101	101.7604167	11	4	2017	18	15	0.339	14.6	0.02	0.392	26.9	102.07	1.37	1.8	174
4/11/2017 18:30	101	101.7708333	11	4	2017	18	30	0.339	14.6	0.02	0.402	26.5	102.08	1.3	1.9	172
4/11/2017 18:45	101	101.78125	11	4	2017	18	45	0.339	14.6	0.02	0.428	25.8	102.07	1.3	1.9	168
4/11/2017 19:00	101	101.7916667	11	4	2017	19	0	0.339	14.6	0.02	0.449	25	102.07	1.48	2	165
4/11/2017 19:15	101	101.8020833	11	4	2017	19	15	0.339	14.7	0.02	0.47	24.1	102.07	1.34	1.7	165
4/11/2017 19:30	101	101.8125	11	4	2017	19	30	0.339	14.7	0.02	0.493	23.3	102.05	1.28	2.1	166
4/11/2017 19:45	101	101.8229167	11	4	2017	19	45	0.339	14.7	0.02	0.513	22.4	102.08	1.16	1.6	165
4/11/2017 20:00	101	101.8333333	11	4	2017	20	0	0.339	14.7	0.02	0.509	21.7	102.08	1.01	1.2	164
4/11/2017 20:15	101	101.84375	11	4	2017	20	15	0.339	14.7	0.02	0.51	21.3	102.08	0.97	1.2	164
4/11/2017 20:30	101	101.8541667	11	4	2017	20	30	0.339	14.7	0.02	0.519	21	102.08	0.93	1.2	162
4/11/2017 20:45	101	101.8645833	11	4	2017	20	45	0.339	14.7	0.02	0.534	20.8	102.08	0.68	1	161
4/11/2017 21:00	101	101.875	11	4	2017	21	0	0.339	14.7	0.02	0.579	20.2	102.11	0.26	0.7	135
4/11/2017 21:15	101	101.8854167	11	4	2017	21	15	0.339	14.7	0.02	0.608	19.3	102.11	0.44	1.1	155
4/11/2017 21:30	101	101.8958333	11	4	2017	21	30	0.339	14.7	0.02	0.592	19.6	102.11	0.73	1.2	158
4/11/2017 21:45	101	101.90625	11	4	2017	21	45	0.339	14.6	0.02	0.597	19.6	102.13	0.68	1.5	158
4/11/2017 22:00	101	101.9166667	11	4	2017	22	0	0.339	14.6	0.02	0.635	19.4	102.13	1.17	1.6	162
4/11/2017 22:15	101	101.9270833	11	4	2017	22	15	0.339	14.6	0.02	0.653	19.3	102.13	1.16	2	162
4/11/2017 22:30	101	101.9375	11	4	2017	22	30	0.339	14.6	0.02	0.674	19	102.11	1.13	1.6	164
4/11/2017 22:45	101	101.9479167	11	4	2017	22	45	0.339	14.6	0.02	0.686	18.6	102.11	1.17	1.7	164
4/11/2017 23:00	101	101.9583333	11	4	2017	23	0	0.339	14.5	0.02	0.694	18.2	102.11	1.29	1.7	165
4/11/2017 23:15	101	101.96875	11	4	2017	23	15	0.339	14.5	0.02	0.708	17.9	102.1	1.31	1.7	167
4/11/2017 23:30	101	101.9791667	11	4	2017	23	30	0.339	14.5	0.02	0.698	18	102.1	1.34	1.9	166
4/11/2017 23:45	101	101.9895833	11	4	2017	23	45	0.339	14.4	0.02	0.707	17.7	102.1	1.22	1.8	165
4/12/2017 0:00	102	102	12	4	2017	0	0	0.339	14.4	0.02	0.716	17.5	102.1	1.12	1.5	165
4/12/2017 0:15	102	102.0104167	12	4	2017	0	15	0.339	14.4	0.02	0.725	17.3	102.08	1.12	1.5	164
4/12/2017 0:30	102	102.0208333	12	4	2017	0	30	0.339	14.4	0.02	0.729	17.2	102.07	1.19	1.6	165
4/12/2017 0:45	102	102.03125	12	4	2017	0	45	0.34	14.4	0.02	0.734	17.1	102.07	1.17	1.8	166
4/12/2017 1:00	102	102.0416667	12	4	2017	1	0	0.34	14.3	0.02	0.726	17.5	102.08	1.51	2.6	169
4/12/2017 1:15	102	102.0520833	12	4	2017	1	15	0.34	14.3	0.02	0.716	17.7	102.08	1.47	2.1	170
4/12/2017 1:30	102	102.0625	12	4	2017	1	30	0.34	14.3	0.02	0.721	17.7	102.08	1.51	2	171
4/12/2017 1:45	102	102.0729167	12	4	2017	1	45	0.34	14.3	0.02	0.726	17.5	102.05	1.5	2.2	170
4/12/2017 2:00	102	102.0833333	12	4	2017	2	0	0.34	14.2	0.02	0.735	17.4	102.05	1.63	2.3	170
4/12/2017 2:15	102	102.09375	12	4	2017	2	15	0.34	14.2	0.02	0.74	17.4	102.04	1.75	2.4	172
4/12/2017 2:30	102	102.1041667	12	4	2017	2	30	0.34	14.2	0.02	0.745	17.2	102.02	1.6	2.2	172
4/12/2017 2:45	102	102.1145833	12	4	2017	2	45	0.34	14.2	0.02	0.749	17.1	102.01	1.47	2	172
4/12/2017 3:00	102	102.125	12	4	2017	3	0	0.34	14.2	0.02	0.759	16.9	101.99	1.51	2.1	171
4/12/2017 3:15	102	102.1354167	12	4	2017	3	15	0.34	14.1	0.02	0.759	16.9	101.98	1.78	2.5	171
4/12/2017 3:30	102	102.1458333	12	4	2017	3	30	0.34	14.1	0.02	0.744	17.1	101.98	1.58	2.4	173
4/12/2017 3:45	102	102.15625	12	4	2017	3	45	0.34	14.1	0.02	0.739	17.1	101.99	1.5	2	173
4/12/2017 4:00	102	102.1666667	12	4	2017	4	0	0.34	14.1	0.02	0.748	16.8	101.97	1.54	2.1	172
4/12/2017 4:15	102	102.1770833	12	4	2017	4	15	0.34	14	0.02	0.758	16.6	101.97	1.37	1.9	171
4/12/2017 4:30	102	102.1875	12	4	2017	4	30	0.34	14	0.02	0.757	16.5	101.99	0.51	1.1	180
4/12/2017 4:45	102	102.1979167	12	4	2017	4	45	0.34	14	0.02	0.776	16	102.04	0.36	0.8	315
4/12/2017 5:00	102	102.2083333	12	4	2017	5	0	0.34	14	0.02	0.806	15.4	102.04	0.21	0.6	203
4/12/2017 5:15	102	102.21875	12	4	2017	5	15	0.34	14	0.02	0.816	15.1	102.04	0.27	0.8	169
4/12/2017 5:30	102	102.2291667	12	4	2017	5	30	0.34	14	0.02	0.811	15.2	102.05	0.32	0.7	179
4/12/2017 5:45	102	102.2395833	12	4	2017	5	45	0.34	13.9	0.02	0.842	14.4	102.07	0.22	0.6	314
4/12/2017 6:00	102	102.25	12	4	2017	6	0	0.34	13.9	0.02	0.87	14	102.07	0.21	0.6	304
4/12/2017 6:15	102	102.2604167	12	4	2017	6	15	0.34	13.9	0.02	0.887	13.7	102.08	0.18	0.5	287
4/12/2017 6:30	102	102.2708333	12	4	2017	6	30	0.34	13.9	0.02	0.867	13.5	102.1	0.18	0.4	167
4/12/2017 6:45	102	102.28125	12	4	2017	6	45	0.34	13.8	0.02	0.875	13	102.1	0.19	0.7	322
4/12/2017 7:00	102	102.2916667	12	4	2017	7	0	0.34	13.8	0.02	0.916	13.1	102.13	0.19	0.4	199
4/12/2017 7:15	102	102.3020833	12	4	2017	7	15	0.34	13.7	0.02	0.906	13.7	102.16	0.15	0.4	98
4/12/2017 7:30	102	102.3125	12	4	2017	7	30	0.34	13.7	0.02	0.902	14.1	102.17	0.16	0.4	232
4/12/2017 7:45	102	102.3229167	12	4	2017	7	45	0.34	13.7	0.02	0.897	14.7	102.19	0.11	0.4	330
4/12/2017 8:00	102	102.3333333	12	4	2017	8	0	0.341	13.7	0.02	0.859	15.8	102.19	0.25	0.7	232
4/12/2017 8:15	102	102.34375	12	4	2017	8	15	0.341	13.7	0.02	0.806	16.9	102.2	0.24	0.8	278
4/12/2017 8:30	102	102.3541667	12	4	2017	8	30	0.341	13.6	0.02	0.771	17.6	102.19	0.37	1.3	299
4/12/2017 8:45	102	102.3645833	12	4	2017	8	45	0.341	13.6	0.02	0.747	18.2	102.19	0.44	1.3	316
4/12/2017 9:00	102	102.375	12	4	2017	9	0	0.341	13.6	0.02	0.693	19.2	102.21	0.74	2.2	306
4/12/2017 9:15	102	102.3854167	12	4	2017	9	15	0.341	13.6	0.02	0.631	20.6	102.23	1.02	2.9	328
4/12/2017 9:30	102	102.3958333	12	4	2017	9	30	0.341	13.6	0.02	0.589	21.3	102.21	1.04	2.4	326
4/12/2017 9:45	102	102.40625	12	4	2017	9	45	0.341	13.6	0.03	0.57	21.5	102.23	1.24	3.1	318
4/12/2017 10:00	102	102.4166667	12	4	2017	10	0	0.341	13.6	0.02	0.557	22.2	102.27	1.1	3.1	317
4/12/2017 10:15	102	102.4270833	12	4	2017	10	15	0.341	13.6	0.02	0.523	22.8	102.3	1.32	3	316
4/12/2017 10:30	102	102.4375	12	4	2017	10	30	0.341	13.7	0.02	0.523	22.8	102.35	1.57	3.6	318
