Tree	Depth	Date	CH4	CO2
1	0	10062017	1.74072	359.316
1	10	10062017	1.56906	658.281
1	25	10062017	0.990397	2375.28
1	50	10062017	1.74894	5226.51
1	75	10062017	1.86956	3313.59
1	100	10062017	1.92073	1818.51
1	150	10062017	NA	NA
2	0	10062017	1.74572	372.789
2	10	10062017	1.27095	2280.73
2	25	10062017	0.678483	6278.14
2	50	10062017	2.44383	9290.29
2	75	10062017	1.94169	3642.24
2	100	10062017	1.84933	828.013
2	150	10062017	NA	NA
3	0	10062017	1.7404	357.511
3	10	10062017	1.87332	3131.54
3	25	10062017	2.07561	5857.52
3	50	10062017	2.52676	11113.9
3	75	10062017	2.12476	12491.2
3	100	10062017	2.57496	1397.51
3	150	10062017	NA	NA
1	0	8202018	1.66926	361.577
1	10	8202018	0.777458	2907.73
1	25	8202018	0.434823	4237.14
1	50	8202018	0.598804	6021.5
1	75	8202018	1.94294	1688.05
1	100	8202018	0.310853	11301.7
1	150	8202018	1.57681	615.548
2	0	8202018	1.70481	386.137
2	10	8202018	0.97017	3569.29
2	25	8202018	0.657571	5788.97
2	50	8202018	1.82582	5438.88
2	75	8202018	2.12488	1978.83
2	100	8202018	1.85797	7264.8
2	150	8202018	5.26243	1644.56
3	0	8202018	1.66408	466.973
3	10	8202018	1.18054	3553.44
3	25	8202018	0.988764	5387.76
3	50	8202018	1.30361	10629.6
3	75	8202018	2.07948	3073.9
3	100	8202018	NA	NA
3	150	8202018	2.13184	1385.12
1	0	3122019	1.6974	360.588
1	10	3122019	1.29026	750.946
1	25	3122019	0.455712	2505.97
1	50	3122019	1.65912	725.957
1	75	3122019	1.74135	553.087
1	100	3122019	1.78176	530.416
1	150	3122019	1.81966	576.759
2	0	3122019	1.69621	360.894
2	10	3122019	0.883548	1582.21
2	25	3122019	1.33659	971.275
2	50	3122019	1.74003	599.831
2	75	3122019	1.76883	538.017
2	100	3122019	1.79872	649.784
2	150	3122019	1.83701	448.689
3	0	3122019	1.70751	360.227
3	10	3122019	1.29536	1833.29
3	25	3122019	0.32526	3459.38
3	50	3122019	1.31147	2421.57
3	75	3122019	1.75134	893.998
3	100	3122019	1.91712	1561.92
3	150	3122019	1.73196	508.981
