Tree	Location	Height	CO2Meter_time	CH4_CO2Meter_concentrations	CO2_CO2Meter_concentrations	LGR_time	LGR_CH4_concentrations	LGR_CO2_concentrations	CH4	CO2
A	1	60	11:22	0	15000	16:17:50	86.626	1122.11	86.626	15000
A	2	107	11:19	9000	15000	16:13:33	87.8333	1117.2	9000	15000
A	3	168	11:16	3000	12000	16:11:20	5507.79	4742.77	5507.79	12000
B	1	53	11:33	4000	24000	16:28:01	307.472	13322.8	4000	24000
B	2	96	11:30	82000	46000	16:25:24			82000	46000
B	3	157	11:26	20000	22000	16:21:49	4488.32	6357.13	20000	22000
C	1	57	11:46	0	19000	16:41:35	8.38134	6794.45	8.38134	19000
C	2	95	11:44	0	25000	16:39:45	6.82954	5930.95	6.82954	25000
C	3	151	11:41	0	30000	16:36:30	52.2596	25585.9	52.2596	30000
D	1	44	11:56	28000	22000	16:51:42	357.427	1382.15	28000	22000
D	2	100	11:52	16000	15000	16:47:15	91.3427	943.463	16000	15000
D	3	146	11:49	36000	25000	16:45:13	125.541	871.369	36000	25000
E	1	56	12:45	15000	12000	17:40:45	399.491	1143.1	15000	12000
E	2	107	12:41	19000	14000	17:36:40	186.341	894.88	19000	14000
E	3	154	12:36	14000	13000	17:31:40	697.201	1122.96	14000	13000
F	1	54	13:16	74000	26000	18:11:10	5963.29	23815.9	74000	26000
F	2	106	13:12	63000	22000	18:09:00	6749.45	8899.54	63000	22000
F	3	156	13:09	7000	10000	18:04:00	533.658	1716.83	7000	10000
G	1	43	14:00	1000	0	16:32:57	2.63986	820.999	1000	820.999
G	2	101	13:54	0	7000	16:27:49	4.92592	2528.85	4.92592	7000
G	3	152	13:51	0	15000	16:23:00	14.0204	2898.1	14.0204	15000
H	1	50	14:08	0	10000	14:40:40	3.56561	591.702	3.56561	10000
H	2	102	14:07	1000	15000	16:38:37	5.12521	748.399	1000	15000
H	3	156	14:04	4000	14000	16:36:30	28.2138	1031.03	4000	14000
I	1	61	10:56	0	10000	17:05:04	1292.81	4628.16	1292.81	10000
I	2	107	10:53	0	12000	17:01:53	38.1864	1112.85	38.1864	12000
I	3	161	10:50	0	7000	16:59:06	584.457	3363.18	584.457	7000
J	1	53	10:47	0	14000	16:55:33	134.457	1722.04	134.457	14000
J	2	110	10:44	0	13000	16:52:20	77.5952	764.568	77.5952	13000
J	3	159	10:32	37000	21000	16:45:25	266.905	758.743	37000	21000
K	1	44	12:10	1000	19000	17:05:02	2.01762	1134.45	1000	19000
K	2	95	12:06	5000	18000	17:01:01	2.28376	859.02	5000	18000
K	3	150	12:01	0	19000	16:56:25	2.28566	743.917	2.28566	19000
L	1	64	12:18	0	79000	17:13:46	10.7604	49382.3	10.7604	79000
L	2	102	12:15	0	80000	17:11:17	11.7154	50080.1	11.7154	80000
L	3	158	12:13	0	67000	17:08:12	21.1632	61283.6	21.1632	67000
M	1	56	13:47	0	16000	16:18:01	9.23687	4731.14	9.23687	16000
M	2	103	13:40	0	12000	16:12:30	11.4567	2477.93	11.4567	12000
M	3	154	13:35	75000	18000				75000	18000
N	1	48	13:05	2000	12000	18:00:20	1.69904	593.772	2000	12000
N	2	98	13:02	0	16000	17:57:37	1.72942	705.167	1.72942	16000
N	3	146	12:58	0	15000	17:54:31	9.27455	752.06	9.27455	15000
O	1	54	11:00	0	16000	17:09:06	11.8824		11.8824	16000
O	2	104	11:02	0	10000	17:10:50	1172.32		1172.32	10000
O	3	158	11:04	7000	10000	16:04:08	243.764	2580.75	7000	10000
1	2	55	12:32	6000	24000	17:27:20	16.6171	737.769	6000	24000
1	3	149	12:27	9000	17000	17:22:24	14.3972	774.25	9000	17000
2	2	60	12:54	0	14000	17:49:05	6.01047	1087.9	6.01047	14000
2	3	151	12:50	10000	25000	17:45:15	149.564	3314.86	10000	25000
3	2	54	13:26	0	84000	16:03:00	58.11	43916.6	58.11	84000
3	3	154	13:22	0	14000	16:01:38	27.0026	1471.96	27.0026	14000
