Tree_Name	Wet_Weight_H	Length_H	Dry_Weight_H	Dry_Length_H	Density_H	Moisture_H	Wet_Weight_S	Length_S	Dry_Weight_S	Dry_Length_S	Density_S	Moisture_S	Density	Moisture
A	2.48	11.3	1.47	10.8	0.662535268	0.407258065	0.61	3.2	0.39	3.1	0.620704278	0.360655738	0.653303601	0.398058252
B	1.23	6.4	0.69	6.1	0.549084554	0.43902439	1.53	6.9	0.85	6.6	0.627393399	0.444444444	0.589710947	0.442028986
C	0.97	6.5	0.67	6.2	0.524966458	0.309278351	1.07	5.5	0.76	5.2	0.703754221	0.289719626	0.60691085	0.299019608
D	2.2	9.8	1.29	9.3	0.670399597	0.413636364	0.69	4	0.46	3.7	0.585690191	0.333333333	0.645846146	0.394463668
E	1.62	7.4	0.99	7	0.681355216	0.388888889	0.63	3.9	0.4	3.6	0.522354685	0.365079365	0.626478926	0.382222222
F	2.87	12.9	1.61	12.6	0.635632765	0.43902439	0.5	3.2	0.32	3.1	0.509295818	0.36	0.610522316	0.427299703
G	2.39	10.1	1.4	9.7	0.705954599	0.414225941	0.795	4.3	0.55	4.05	0.651424883	0.310474632	0.68967142	0.387755102
H	2.07	9.5	1.29	9.2	0.691570111	0.376811594	0.69	3.5	0.46	3.4	0.669360218	0.333333333	0.685590524	0.365942029
I	1.98	9.5	1.21	8.9	0.648682042	0.388888889	1.02	5.5	0.69	5.3	0.638934753	0.323529412	0.645108036	0.366666667
K	1.07	5.4	0.68	5.3	0.641335474	0.364485981	1.23	6.2	0.83	6.1	0.68179924	0.325203252	0.66296266	0.343478261
L							0.84	4.3	0.52	4	0.615892617	0.380952381	0.615892617	0.380952381
M	1.26	8.8	0.84	8.1	0.486146008	0.333333333	1.37	7.3	0.9	6.9	0.627898954	0.343065693	0.550419083	0.338403042
N	2.04	10	1.22	9.1	0.621340898	0.401960784	0.94	5.4	0.62	5	0.58474705	0.340425532	0.608509289	0.382550336
O	1.64	8.4	1.09	7.8	0.660871954	0.335365854	1.05	5.5	0.71	5.2	0.657454601	0.323809524	0.659519764	0.330855019
